Name,Address,City,State,Zip,source,COF,cluster_id,confidence
north ponce shell,2350 n ponce de leon blvd,st augustine,fl,320842628,pbna,3628154,368,0.996972382
hala hala food mart,740 stockton st,jacksonville,fl,322043424,pbna,3646359,369,0.997758269
baker ave food store,934 baker ave,jacksonville,fl,322097051,pbna,3695950,370,0.998213768
green cove shell,410 s orange ave,green cove springs,fl,320434134,pbna,7651350,371,0.998213768
brince jones grocery,4256 s county road 229,glen saint mary,fl,320405532,pbna,3731596,372,0.907523096
kapul food mart,4540 us highway 1 n,saint augustine,fl,320955203,pbna,3730407,373,0.998213768
speedway food store,4401 sartillo rd,saint augustine,fl,320955232,pbna,3846771,374,0.931853414
lanier and lucas,8391 us highway 301 s,jacksonville,fl,322342618,pbna,3741154,375,0.99785459
cronin ace hardware,10870 us highway 1 n unit 116,ponte vedra,fl,320817804,pbna,3718656,376,0.787856102
proctor ace hardware,5723 university blvd w,jacksonville,fl,322164976,pbna,7334044,377,0.969874978
proctor ace hardware,870 a1a n,ponte vedra beach,fl,320823212,pbna,7334043,378,0.969874978
park n shop,2921 monument rd,jacksonville,fl,322251704,pbna,3785321,379,0.953521431
snake road food store,6763 woodlawn rd,macclenny,fl,320634999,pbna,3826885,380,0.982008576
neptune beach 76,1120 atlantic blvd,neptune beach,fl,322662516,pbna,3801562,381,0.998213768
molasses junction,6300 county road 214,saint augustine,fl,320929323,pbna,3801334,382,0.99791646
olustee general food store,24116 us highway 90,sanderson,fl,320872384,pbna,3818190,383,0.99785614
k j neighborhood store,2919 philips hwy,jacksonville,fl,322074419,pbna,3849114,384,0.997893512
emesa express no 2,2135 sadler rd,fernandina beach,fl,320344452,pbna,3869435,385,0.970890701
wonderwood speedway food store,13967 mount pleasant rd,jacksonville,fl,322252505,pbna,3679645,386,0.903789818
davis oil 0002,1380 s 6th st,macclenny,fl,320634621,pbna,3798991,387,0.731081963
prime time food store 10,12020 fort caroline rd ste 1,jacksonville,fl,322251264,pbna,3890762,388,0.99183923
prime time-chill,3701 soutel dr,jacksonville,fl,322081269,pbna,7792062,389,0.894408165
prime time supermarket,1548 kings rd,jacksonville,fl,322096170,pbna,3628773,390,0.742928269
prime time food store 02,4275 university blvd n,jacksonville,fl,322771335,pbna,5424693,391,0.997924864
prime time food store 0004,3550 university blvd n,jacksonville,fl,322772423,pbna,7182807,392,0.99785614
walmart sc 1225,899 blanding blvd,orange park,fl,320658917,pbna,111062,405,0.984188026
winn-dixie 0176,8650 argyle forest blvd,jacksonville,fl,32244,pbna,7062797,406,0.992057979
publix 0668,410 blanding blvd,orange park,fl,320735051,pbna,2979487,407,0.988312364
publix 0128,9518 argyle forest blvd,jacksonville,fl,322222800,pbna,5425381,408,0.988312364
sams club dc 6363,6373 youngerman cir,jacksonville,fl,322446609,pbna,125584,409,0.979259523
sams club ms 6363,6373 youngerman cir,jacksonville,fl,322446609,pbna,3847027,409,0.979259523
sams club cafe 6363,6373 youngerman cir,jacksonville,fl,322446609,pbna,3498102,409,0.97122505
publix 0649,6001 argyle forest blvd ste 45,jacksonville,fl,322446127,pbna,2975876,410,0.988312364
target 2233-vendor 1137590,9525 crosshill blvd,jacksonville,fl,322225812,pbna,7186796,411,0.659187853
publix 0502,5000 us highway 17 ste 11,orange park,fl,320038223,pbna,2000069,412,0.90707612
winn-dixie 0138,3260 highway 17,green cove springs,fl,320439364,pbna,7062605,413,0.993024886
walmart sc 2920,1505 county road 220,orange park,fl,320037926,pbna,5401736,414,0.882883969
publix 1210,865 hibernia rd ste 200,green cove springs,fl,32043,pbna,7336697,415,0.998213768
publix 0631,4495 roosevelt blvd,jacksonville,fl,322103375,pbna,2971707,416,0.986476421
walmart nhm 5005,6855 wilson blvd,jacksonville,fl,322103600,pbna,3432892,417,0.963763038
winn-dixie 0093,2720 blanding blvd,middleburg,fl,320685648,pbna,7062571,418,0.988312364
publix 0736,2640 blanding blvd,middleburg,fl,320689107,pbna,2995657,419,0.988312364
walmart sc 3308,1580 brannan rd,middleburg,fl,32068,pbna,7176310,420,0.984188026
winn-dixie 0153,7921 normandy blvd,jacksonville,fl,322216640,pbna,7062780,422,0.993024886
winn-dixie 0191,5207 normandy blvd,jacksonville,fl,322054827,pbna,7062838,423,0.993024886
walmart sc 6978,7075 collins rd,jacksonville,fl,322445041,pbna,3542957,424,0.984188026
walmart sc 1083,6830 normandy blvd,jacksonville,fl,322051902,pbna,113157,425,0.984188026
winn-dixie 0199,703 chaffee rd s,jacksonville,fl,322211105,pbna,7062841,426,0.993024886
publix 1037,7749 normandy blvd,jacksonville,fl,322217657,pbna,7092685,427,0.998213768
publix 0263,7628 103rd st ste 24,jacksonville,fl,322108719,pbna,113080,428,0.988312364
winn-dixie 0177,3538 blanding blvd,jacksonville,fl,322105253,pbna,7062813,430,0.993024886
walmart sc 1082,10991 san jose blvd,jacksonville,fl,322236675,pbna,110731,431,0.984188026
winn-dixie 0141,11701 san jose blvd,jacksonville,fl,322230756,pbna,7062734,432,0.993024886
publix 0716,450 state road 13,jacksonville,fl,322593860,pbna,2993162,433,0.988312364
publix 1022,11406 san jose blvd,jacksonville,fl,322237963,pbna,5691858,434,0.997224271
joes food mart 2,15411 n main st,jacksonville,fl,322181401,pbna,9673620,435,0.997904003
circle k 2745039,462480 state road 200,yulee,fl,320972621,pbna,111287,439,0.998213768
circle k 2745093,462580 state road 200,yulee,fl,320975449,pbna,5404096,440,0.998213768
target 2155-vendor 1137590,463737 state road 200,yulee,fl,320978652,pbna,7163727,441,0.997211039
gate food 1214,463779 state road 200,yulee,fl,320978652,pbna,7182435,442,0.975317001
publix 1406,463855 state road 200,yulee,fl,320973639,pbna,9780198,443,0.998213768
dollar general 13628,8507707 us highway 17,yulee,fl,32097,pbna,9780905,444,0.994466782
dollar tree 5002,463797 state road 200 ste 7,yulee,fl,320978653,pbna,9824445,445,0.975639343
raceway 01,462569 state road 200,yulee,fl,320975421,pbna,9890895,446,0.980591595
quikway 8181,850850 us highway 17,yulee,fl,320976826,pbna,3691730,447,0.998213768
circle k 2745087,474328 e state road 200,yulee,fl,32097,pbna,2950299,448,0.731953801
circle k 2745059,925 s 14th st,fernandina beach,fl,320342906,pbna,110703,452,0.998213768
publix 0322,1421 sadler rd,fernandina beach,fl,320344788,pbna,110726,453,0.988312364
harris teeter 0034 csd,4800 first coast hwy,fernandina beach,fl,320345597,pbna,2997791,454,0.991487342
harris teeter 0034 ncb,4800 first coast hwy,fernandina beach,fl,320345597,pbna,9750763,454,0.991487342
dollar general 01958,1026 s 14th st,fernandina beach,fl,320342919,pbna,5419926,455,0.99507767
a1a gas mart,816 s 8th st,fernandina beach,fl,320343705,pbna,3597262,456,0.998213768
circle k 2726158,1403 lewis st,fernandina beach,fl,320344934,pbna,110686,457,0.998213768
cvs 03235,870 sadler rd,fernandina beach,fl,320344752,pbna,5691873,458,0.96560353
