Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
walmart nm 3070,5025 winters chapel rd,dunwoody,ga,303601700,flna,42081800,55,0.977709949
walmart nm imp 3070,5025 winters chapel rd,dunwoody,ga,303601700,flna,42081802,55,0.977709949
circle k,7320 roswell rd,atlanta,ga,303281422,flna,42184403,56,0.908373892
circle k 2655998,7325 roswell rd,sandy springs,ga,303281421,flna,42288337,56,0.908373892
quiktrip 775,105 ernest barrett pkwy,kennesaw,ga,30152,flna,2012789,57,0.890045524
quiktrip 1715,1400 ernest w barrett pkwy nw,kennesaw,ga,301525002,flna,42184371,57,0.890045524
walmart sc 5275,6435 bells ferry rd,woodstock,ga,301892317,flna,2170310,58,0.977709949
walmart sc imp 5275,6435 bells ferry rd,woodstock,ga,301892317,flna,2170311,58,0.977709949
walmart sc 5814,2200 holly springs pkwy,holly springs,ga,301159079,flna,42119717,59,0.977709949
walmart sc imp 5814,2200 holly springs pkwy,holly springs,ga,301159079,flna,42119718,59,0.977709949
walmart sc 3471,3105 cobb pkwy nw,kennesaw,ga,301521013,flna,2016891,60,0.977709949
walmart sc imp 3471,3105 cobb pkwy nw,kennesaw,ga,301521013,flna,2016892,60,0.977709949
walmart sc 3748,3826 cobb pkwy nw,acworth,ga,301014022,flna,2252871,61,0.977709949
walmart sc imp 3748,3826 cobb pkwy nw,acworth,ga,301014022,flna,2252872,61,0.977709949
walmart sc 0937,2795 chastain meadows pkwy,marietta,ga,300663361,flna,246698,62,0.969202817
walmart sc imp 937,2795 chastain meadows pkwy,marietta,ga,300663361,flna,1768909,62,0.969202817
walmart sc 0615,5428 highway 20 se,cartersville,ga,30121,flna,1599071,63,0.969202817
walmart sc imp 615,5428 highway 20 se,cartersville,ga,30121,flna,1770735,63,0.969202817
walmart sc 1215,450 w belmont dr,calhoun,ga,307013016,flna,1675427,64,0.977709949
walmart sc imp 1215,450 w belmont dr,calhoun,ga,307013016,flna,1770303,64,0.977709949
travelcenters of ame,10200 old federal rd,carnesville,ga,305212962,flna,1366453,65,0.998213768
travelcenters of ame,10200 old federal rd,carnesville,ga,305212962,flna,1361705,65,0.998213768
travelcenters of ame,10200 old federal rd,carnesville,ga,305212962,flna,1371587,65,0.998213768
walmart sc 2753,1455 highway 441 s,clayton,ga,305257607,flna,1926283,66,0.977709949
walmart sc imp 2753,1455 highway 441 s,clayton,ga,305257607,flna,1926284,66,0.977709949
walmart sc 1122,3886 highway 17 s,toccoa,ga,30538,flna,273040,67,0.977709949
walmart sc imp 1122,3886 highway 17 s,toccoa,ga,30538,flna,1769840,67,0.977709949
walmart sc 1403,250 furniture drive,cornelia,ga,30531,flna,1096303,68,0.977709949
